Anthology Publication Year,Anthology Type,Anthology Title,Collection Type,Source Title,Source Genre,Original Publication Year,Publication Decade,Author,Author Birth Year,Author Birth Decade,Author Gender,Anthology Section Header,Anthology Edition,Anthology Editors
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,Duel With the Clock,Short Story,,0s,Junius Edwards,1929,1920s,Male,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,Afternoon into Night ,Short Story,1952,1950s,Katherine Dunham,1909,1900s,Female,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,An Interesting Social Study,Short Story,1967,1960s,Kristin Hunter,1931,1930s,Female,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,"Thank You, M'am",Short Story,1958,1950s,Langston Hughes,1902,1900s,Male,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,The Burglar,Short Story,,0s,Lebert Bethune,,0s,Male,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,Red Bonnet,Short Story,,0s,Lindsay Patterson,1934,1930s,Male,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,See How They Run,Short Story,,0s,Mary Elizabeth Vroman,1924,1920s,Female,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,direct Action,Short Story,,0s,Mike Thelwell,1939,1930s,Male,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,"Come Home Early, Chile",Short Story,,0s,Owen Dodson,1914,1910s,Male,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,The Scapegoat,Short Story,1904,1900s,Paul Laurence Dunbar,1872,1870s,Male,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,Barbados,Short Story,1929,1920s,Paule Marshall,1929,1920s,Female,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,The Day the World Almost Came to an End,Short Story,,0s,Pearl Crayton,1932,1930s,Female,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,The Death of Tommy Grimes,Short Story,,0s,R. J. Meaddough III,,0s,Male,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,Flying Home,Short Story,1944,1940s,Ralph Ellison,1914,1910s,Male,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,The Man Who Was Almost a Man,Short Story,1961,1960s,Richard Wright,1908,1900s,Male,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,The Engagement Party,Short Story,,0s,Robert Boles ,,0s,Male,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,Miss Luhester Gives a Party,Short Story,,0s,Ronald L. Fair,,0s,Male,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,Junkie-Joe Had Some Money,Short Story,,0s,Ronald Milner,,0s,Male,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,Miss Cynthie,Short Story,1933,1930s,Rudolph Fisher,1897,1890s,Male,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,The Blues Begins,Short Story,,0s,Sylvester Leaks,1927,1920s,Male,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,The Revolt of the Evil Fairies,Short Story,,0s,Ted Poston,1906,1900s,Male,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,The Almost White Boy,Short Story,,0s,Willard Motley,1909,1900s,Male,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,The Only Man on Liberty Street,Short Story,1967,1960s,William Melvin Kelley,1937,1930s,Male,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,Beautiful Light and Black Our Dreams,Short Story,1963,1960s,"Woodie King, Jr.",1937,1930s,Male,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,The Gilded Six-Bit,Short Story,1933,1930s,Zora Neale Hurston,1891,1890s,Female,,1st Ed,Langston Hughes; Gloria Naylor
1968,Comprehensive African American Collection ,Black Voices: An Anthology of African-American Literature,Chronological,In Darkness and Confusion,Short Story,1947,1940s,Ann Petry,1911,1910s,Female,Fiction,1st Ed,Abraham Chapman;
1968,Comprehensive African American Collection ,Black Voices: An Anthology of African-American Literature,Chronological,A Summer Tragedy,Short Story,1933,1930s,Arna Bontemps,1902,1900s,Male,Fiction,1st Ed,Abraham Chapman;
